SVSPP,COMNAME,SCINAME,FISH,PD,TL
515,OWEN'S BOBTAIL,ROSSIA PALPEBROSA,N,NA,NA
516,BLOTCHED SWIMMING CRAB,PORTUNUS SPINIMANUS,N,NA,NA
517,BATHYAL SWIMMING CRAB,BATHYNECTES LONGISPINA,N,NA,NA
518,SPECKLED SWIMMING CRAB,ARENAEUS CRIBRARIUS,N,NA,NA
520,LONGFIN SQUID EGG MOPS,LOLIGO PEALEII EGG MOPS,N,NA,NA
526,BANK SEA BASS,CENTROPRISTIS OCYURUS,Y,NA,NA
527,ROCK SEA BASS,CENTROPRISTIS PHILADELPHICA,Y,NA,NA
529,DWARF SAND PERCH,DIPLECTRUM BIVITTATUM,Y,NA,NA
530,SAND PERCH,DIPLECTRUM FORMOSUM,Y,NA,NA
531,ROCK HIND,EPINEPHELUS ADSCENSIONIS,Y,NA,NA
536,WARSAW GROUPER,EPINEPHELUS NIGRITUS,Y,NA,NA
537,SNOWY GROUPER,EPINEPHELUS NIVEATUS,Y,NA,NA
538,NASSAU GROUPER,EPINEPHELUS STRIATUS,Y,NA,NA
539,RED BARBIER,HEMANTHIAS VIVANUS,Y,NA,NA
540,BLACK GROUPER,MYCTEROPERCA BONACI,Y,NA,NA
541,GAG,MYCTEROPERCA MICROLEPIS,Y,NA,NA
542,SCAMP,MYCTEROPERCA PHENAX,Y,NA,NA
546,STREAMER BASS,HEMANTHIAS AUREORUBENS,Y,NA,NA
549,BLACKEAR BASS,SERRANUS ATROBRANCHUS,Y,NA,NA
551,SADDLE BASS,SERRANUS NOTOSPILUS,Y,NA,NA
552,TATTLER,SERRANUS PHOEBE,Y,NA,NA
554,SEA BASS UNCL,SERRANIDAE,Y,NA,NA
556,GLASSEYE SNAPPER,PRIACANTHUS CRUENTATUS,Y,NA,NA
557,SHORT BIGEYE,PRISTIGENYS ALTA,Y,NA,NA
563,COBIA,RACHYCENTRON CANADUM,Y,NA,NA
564,SHARKSUCKER,ECHENEIS NAUCRATES,Y,NA,NA
567,REMORA,REMORA REMORA,Y,NA,NA
568,AFRICAN POMPANO,ALECTIS CILIARIS,Y,NA,NA
569,YELLOW JACK,CARANX BARTHOLOMAEI,Y,NA,NA
570,CREVALLE JACK,CARANX HIPPOS,Y,NA,NA
571,HORSE-EYE JACK,CARANX LATUS,Y,NA,NA
573,ATLANTIC BUMPER,CHLOROSCOMBRUS CHRYSURUS,Y,NA,NA
574,RAINBOW RUNNER,ELAGATIS BIPINNULATA,Y,NA,NA
576,PILOTFISH,NAUCRATES DUCTOR,Y,NA,NA
577,LEATHERJACK,OLIGOPLITES SAURUS,Y,NA,NA
578,ALMACO JACK,SERIOLA RIVOLIANA,Y,NA,NA
579,FLORIDA POMPANO,TRACHINOTUS CAROLINUS,Y,NA,NA
580,PERMIT,TRACHINOTUS FALCATUS,Y,NA,NA
582,JACK POMPANO UNCL,CARANGIDAE,Y,NA,NA
583,POMPANO DOLPHIN,CORYPHAENA EQUISELIS ,Y,NA,NA
584,DOLPHIN,CORYPHAENA HIPPURUS,Y,NA,NA
585,ATLANTIC POMFRET,BRAMA BRAMA,Y,NA,NA
589,RED SNAPPER,LUTJANUS CAMPECHANUS,Y,NA,NA
592,LANE SNAPPER,LUTJANUS SYNAGRIS,Y,NA,NA
595,WENCHMAN,PRISTIPOMOIDES AQUILONARIS,Y,NA,NA
596,VERMILION SNAPPER,RHOMBOPLITES AURORUBENS,Y,NA,NA
597,SNAPPER UNCL,LUTJANIDAE,Y,NA,NA
599,SILVER JENNY,EUCINOSTOMUS GULA,Y,NA,NA
600,,SQUALIDAE,Y,NA,NA
601,BROADBAND DOGFISH,ETMOPTERUS GRACILISPINIS,Y,NA,NA
603,PORTUGUESE SHARK,CENTROSCYMNUS COELOLEPIS,Y,NA,NA
604,GLADIATOR BOX CRAB,ACANTHOCARPUS ALEXANDRI,N,NA,NA
616,BULLEYE,COOKEOLUS JAPONICUS,Y,NA,NA
617,SPOTTED TINSELFISH,XENOLEPIDICHTHYS DALGLEISHI,Y,NA,NA
620,BARRACUDAS,SPHYRAENA ,Y,NA,NA
621,BLUELINE TILEFISH,CAULOLATILUS MICROPS,Y,NA,NA
622,GOLDFACE TILEFISH,CAULOLATILUS CHRYSOPS,Y,NA,NA
625,MOJARRA UNCL,GERREIDAE,Y,NA,NA
627,TOMTATE,HAEMULON AUROLINEATUM,Y,NA,NA
631,SHEEPSHEAD,ARCHOSARGUS PROBATOCEPHALUS,Y,NA,NA
634,WHITEBONE PORGY,CALAMUS LEUCOSTEUS,Y,NA,NA
639,SPOTTAIL PINFISH,DIPLODUS HOLBROOKII ,Y,NA,NA
640,PINFISH,LAGODON RHOMBOIDES,Y,NA,NA
641,RED PORGY,PAGRUS SEDECIM,Y,NA,NA
643,PORGY AND PINFISH UNCL,SPARIDAE,Y,NA,NA
645,SPOTTED SEATROUT,CYNOSCION NEBULOSUS,Y,NA,NA
646,SILVER SEATROUT,CYNOSCION NOTHUS,Y,NA,NA
650,CUBBYU,EQUETUS UMBROSUS,Y,NA,NA
651,BANDED DRUM,LARIMUS FASCIATUS,Y,NA,NA
652,SOUTHERN KINGFISH,MENTICIRRHUS AMERICANUS,Y,NA,NA
653,GULF KINGFISH,MENTICIRRHUS LITTORALIS,Y,NA,NA
654,RED DRUM,SCIAENOPS OCELLATUS,Y,NA,NA
655,STAR DRUM,STELLIFER LANCEOLATUS,Y,NA,NA
657,DWARF GOATFISH,UPENEUS PARVUS,Y,NA,NA
659,ATLANTIC SPADEFISH,CHAETODIPTERUS FABER,Y,NA,NA
662,SPOTFIN BUTTERFLYFISH,CHAETODON OCELLATUS,Y,NA,NA
663,REEF BUTTERFLYFISH,CHAETODON SEDENTARIUS,Y,NA,NA
677,SLIPPERY DICK,HALICHOERES BIVITTATUS,Y,NA,NA
682,HOGFISH,LACHNOLAIMUS MAXIMUS,Y,NA,NA
683,WRASSE UNCL,LABRIDAE,Y,NA,NA
689,STRIPED MULLET,MUGIL CEPHALUS,Y,NA,NA
690,WHITE MULLET,MUGIL CUREMA,Y,NA,NA
694,NORTHERN SENNET,SPHYRAENA BOREALIS,Y,NA,NA
695,GUAGUANCHE,SPHYRAENA GUACHANCHO,Y,NA,NA
698,GOBY FLATHEAD,BEMBROPS GOBIOIDES,Y,NA,NA
699,SOUTHERN STARGAZER,ASTROSCOPUS Y-GRAECUM,Y,NA,NA
700,SWORDFISH,XIPHIAS GLADIUS,Y,NA,NA
703,ALBACORE,THUNNUS ALALUNGA,Y,NA,NA
725,FRECKLED STARGAZER,XENOCEPHALUS EGREGIUS ,Y,NA,NA
726,LANCER STARGAZER,KATHETOSTOMA ALBIGUTTA,Y,NA,NA
730,CRESTED BLENNY,HYPLEUROCHILUS GEMINATUS,Y,NA,NA
733,COMBTOOTH BLENNY UNCL,BLENNIIDAE,Y,NA,NA
734,AMERICAN SAND LANCE,AMMODYTES AMERICANUS,Y,NA,NA
735,SPOTFIN DRAGONET,FOETOREPUS AGASSIZI,Y,NA,NA
736,FAT SLEEPER,DORMITATOR MACULATUS,Y,NA,NA
738,NAKED GOBY,GOBIOSOMA BOSC,Y,NA,NA
739,GOBY UNCL,GOBIIDAE,Y,NA,NA
743,LITTLE TUNNY,EUTHYNNUS ALLETTERATUS,Y,NA,NA
744,KING MACKEREL,SCOMBEROMORUS CAVALLA,Y,NA,NA
745,SPANISH MACKEREL,SCOMBEROMORUS MACULATUS,Y,NA,NA
747,BLUEFIN TUNA,THUNNUS THYNNUS,Y,NA,NA
748,SPOTTED DRIFTFISH,ARIOMMA REGULUS,Y,NA,NA
749,HARVESTFISH,PEPRILUS ALEPIDOTUS,Y,NA,NA
750,BUTTERFISH UNCL,STROMATEIDAE,Y,NA,NA
751,SPINYCHEEK SCORPIONFISH,NEOMERINTHE HEMINGWAYI,Y,NA,NA
752,HIGHFIN SCORPIONFISH,PONTINUS RATHBUNI,Y,NA,NA
753,LONGFIN SCORPIONFISH,SCORPAENA AGASSIZI,Y,NA,NA
754,BARBFISH,SCORPAENA BRASILIENSIS,Y,NA,NA
756,HUNCHBACK SCORPIONFISH,SCORPAENA DISPAR,Y,NA,NA
759,SCORPIONFISH AND ROCKFISH UNCL,SCORPAENIDAE,Y,NA,NA
760,SHORTFIN SEAROBIN,BELLATOR BRACHYCHIR,Y,NA,NA
761,STREAMER SEAROBIN,BELLATOR EGRETTA,Y,NA,NA
762,HORNED SEAROBIN,BELLATOR MILITARIS,Y,NA,NA
763,SLENDER SEAROBIN,PERISTEDION GRACILE,Y,NA,NA
764,SPINY SEAROBIN,PRIONOTUS ALATUS,Y,NA,NA
765,BANDTAIL SEAROBIN,PRIONOTUS OPHRYAS,Y,NA,NA
768,BLACKWING SEAROBIN,PRIONOTUS RUBIO,Y,NA,NA
769,LEOPARD SEAROBIN,PRIONOTUS SCITULUS,Y,NA,NA
770,BIGHEAD SEAROBIN,PRIONOTUS TRIBULUS,Y,NA,NA
773,RIGHTEYE FLOUNDER UNCL,PLEURONECTIDAE,Y,NA,NA
774,THREE-EYE FLOUNDER,ANCYLOPSETTA DILECTA,Y,NA,NA
775,OCELLATED FLOUNDER,ANCYLOPSETTA QUADROCELLATA,Y,NA,NA
780,HORNED WHIFF,CITHARICHTHYS CORNUTUS,Y,NA,NA
781,SPOTTED WHIFF,CITHARICHTHYS MACROPS,Y,NA,NA
782,BAY WHIFF,CITHARICHTHYS SPILOPTERUS,Y,NA,NA
783,SPOTFIN FLOUNDER,CYCLOPSETTA FIMBRIATA,Y,NA,NA
785,FRINGED FLOUNDER,ETROPUS CROSSOTUS,Y,NA,NA
786,GRAY FLOUNDER,ETROPUS RIMOSUS,Y,NA,NA
788,GULF FLOUNDER,PARALICHTHYS ALBIGUTTA,Y,NA,NA
789,SOUTHERN FLOUNDER,PARALICHTHYS LETHOSTIGMA,Y,NA,NA
790,BROAD FLOUNDER,PARALICHTHYS SQUAMILENTUS,Y,NA,NA
793,DUSKY FLOUNDER,SYACIUM PAPILLOSUM,Y,NA,NA
794,ETROPUS UNCL,ETROPUS ,Y,NA,NA
795,LEFTEYE FLOUNDER UNCL,BOTHIDAE,Y,NA,NA
796,NAKED SOLE,GYMNACHIRUS MELAS,Y,NA,NA
797,OFFSHORE TONGUEFISH,SYMPHURUS CIVITATUS,Y,NA,NA
798,SPOTTEDFIN TONGUEFISH,SYMPHURUS DIOMEDIANUS,Y,NA,NA
820,TRIGGERFISH FILEFISH UNCL,BALISTIDAE,Y,NA,NA
822,SNAKE MACKEREL UNCL,TRICHIURIDAE,Y,NA,NA
825,BLACKCHEEK TONGUEFISH,SYMPHURUS PLAGIUSA,Y,NA,NA
826,NORTHERN TONGUEFISH,SYMPHURUS PUSILLUS,Y,NA,NA
827,SPOTTAIL TONGUEFISH,SYMPHURUS UROSPILUS,Y,NA,NA
830,DOTTEREL FILEFISH,ALUTERUS HEUDELOTI,Y,NA,NA
831,UNICORN FILEFISH,ALUTERUS MONOCEROS,Y,NA,NA
832,ORANGE FILEFISH,ALUTERUS SCHOEPFI,Y,NA,NA
833,SCRAWLED FILEFISH,ALUTERUS SCRIPTUS,Y,NA,NA
834,QUEEN TRIGGERFISH,BALISTES VETULA,Y,NA,NA
835,OCEAN TRIGGERFISH,CANTHIDERMIS SUFFLAMEN,Y,NA,NA
836,FRINGED FILEFISH,MONACANTHUS CILIATUS,Y,NA,NA
840,TRUNKFISH,LACTOPHRYS TRIGONUS,Y,NA,NA
842,SHARPNOSE PUFFER,CANTHIGASTER ROSTRATA,Y,NA,NA
843,MARBLED PUFFER,SPHOEROIDES DORSALIS,Y,NA,NA
844,SOUTHERN PUFFER,SPHOEROIDES NEPHELUS,Y,NA,NA
845,BANDTAIL PUFFER,SPHOEROIDES SPENGLERI,Y,NA,NA
848,SPOTTED BURRFISH,CHILOMYCTERUS ATINGA,Y,NA,NA
851,ANCHOVY UNCL,ENGRAULIDAE,Y,NA,NA
852,LIZARDFISH UNCL,SYNODONTIDAE,Y,NA,NA
856,STRIATED ARGENTINE,ARGENTINA STRIATA,Y,NA,NA
857,STARGAZER UNCL,URANOSCOPIDAE,Y,NA,NA
858,DRUM UNCL,SCIAENIDAE,Y,NA,NA
860,MACKEREL AND TUNA UNCL,SCOMBRIDAE,Y,NA,NA
861,PUFFER UNCL,TETRAODONTIDAE,Y,NA,NA
862,REDEYE GAPER,CHAUNAX STIGMAEUS,Y,NA,NA
863,MISTY GROUPER,EPINEPHELUS MYSTACINUS,Y,NA,NA
865,SILVER ANCHOVY,ENGRAULIS EURYSTOLE,Y,NA,NA
866,SANDDABS,CITHARICHTHYS ,Y,NA,NA
867,,LAEMONEMA BARBATULUM,Y,NA,NA
869,MOONEYE CUSK-EEL,OPHIDION SELENOPS,Y,NA,NA
871,SHORTWING SEAROBIN,PRIONOTUS STEARNSI,Y,NA,NA
872,SPOTFIN MOJARRA,EUCINOSTOMUS ARGENTEUS,Y,NA,NA
873,TWOSPOT FLOUNDER,BOTHUS ROBINSI,Y,NA,NA
874,SNAKE MACKEREL,GEMPYLUS SERPENS,Y,NA,NA
876,BIGEYE CIGARFISH,CUBICEPS PAUCIRADIATUS,Y,NA,NA
877,LESSER AMBERJACK,SERIOLA FASCIATA,Y,NA,NA
878,STRIPED GRUNT,HAEMULON STRIATUM,Y,NA,NA
880,BLUNTHEAD PUFFER,SPHOEROIDES PACHYGASTER,Y,NA,NA
882,ANGLEFIN WHIFF,CITHARICHTHYS GYMNORHINUS,Y,NA,NA
887,LIGHTFISH UNCL,GONOSTOMATIDAE,Y,NA,NA
889,CUBAN ANCHOVY,ANCHOA CUBANA,Y,NA,NA
891,BROWN DRIFTFISH,ARIOMMA MELANUM,Y,NA,NA
896,BARRACUDINAS,PARALEPIDIDAE ,Y,NA,NA
897,BLACKFIN GOOSEFISH,LOPHIUS GASTROPHYSUS,Y,NA,NA
898,COTTONMOUTH JACK,URASPIS SECUNDA,Y,NA,NA
899,RED DORY,CYTTOPSIS ROSEA,Y,NA,NA
900,LOPHIIFORM UNCL,LOPHIIFORMES,Y,NA,NA
910,ROYAL RED SHRIMP,PLEOTICUS ROBUSTUS,N,NA,NA
912,,CALOCARIS TEMPLEMANI,N,NA,NA
913,BROWN SHRIMP,PENAEUS AZTECUS,N,NA,NA
914,PINK SHRIMP,PENAEUS DUORARUM,N,NA,NA
915,WHITE SHRIMP,PENAEUS SETIFERUS,N,NA,NA
925,THRESHER SHARK,ALOPIAS VULPINUS,Y,NA,NA
934,NIGHT SHARK,CARCHARHINUS SIGNATUS,Y,NA,NA
938,STRIPED BONITO,SARDA ORIENTALIS,Y,NA,NA
950,LOGGERHEAD SEATURTLE,CARETTA CARETTA,N,NA,NA
952,LEATHERBACK SEATURTLE,DERMOCHELYS CORIACEA,N,NA,NA
998,TRASH,TRASH SPECIES IN CATCH,N,NA,NA
