SVSPP,COMNAME,SCINAME,FISH,PD,TL
110,DEEPWATER FLOUNDER,MONOLENE SESSILICAUDA,Y,NA,3.2
111,LONGSPINE SNIPEFISH,MACRORHAMPHOSUS SCOLOPAX,Y,NA,3.1
112,BUCKLER DORY,ZENOPSIS CONCHIFERA,Y,NA,3.2
113,ATLANTIC SILVERSIDE,MENIDIA MENIDIA,Y,P,3.1
114,BLACKMOUTH BASS,SYNAGROPS BELLUS,Y,NA,3.2
115,THREESPINE STICKLEBACK,GASTEROSTEUS ACULEATUS,Y,NA,3.2
116,NORTHERN PIPEFISH,SYNGNATHUS FUSCUS,Y,NA,3.1
117,SMALLMOUTH FLOUNDER,ETROPUS MICROSTOMUS,Y,NA,3.1
118,HOGCHOKER,TRINECTES MACULATUS,Y,NA,3.5
120,BLUESPOTTED CORNETFISH,FISTULARIA TABACARIA,Y,NA,3.1
121,ATLANTIC MACKEREL,SCOMBER SCOMBRUS,Y,P,3.4
123,ATLANTIC BONITO,SARDA SARDA,Y,NA,3.5
124,CHUB MACKEREL,SCOMBER JAPONICUS,Y,NA,3.5
126,ATLANTIC CUTLASSFISH,TRICHIURUS LEPTURUS,Y,NA,3.5
127,CONEJO,PROMETHICHTHYS PROMETHEUS,Y,NA,3.1
129,BLUE RUNNER,CARANX CRYSOS,Y,NA,3.2
131,BUTTERFISH,PEPRILUS TRIACANTHUS,Y,P,3.1
132,ATLANTIC MOONFISH,SELENE SETAPINNIS,Y,NA,3.1
133,LOOKDOWN,SELENE VOMER,Y,NA,3.1
134,BIGEYE,PRIACANTHUS ARENATUS,Y,NA,3.1
135,BLUEFISH,POMATOMUS SALTATRIX,Y,P,4.5
136,ATLANTIC CROAKER,MICROPOGONIAS UNDULATUS,Y,D,4.4
137,KEELCHEEK BASS,SYNAGROPS SPINOSUS,Y,NA,3.2
138,CARDINALFISH UNCL,APOGONIDAE,Y,NA,3.2
139,STRIPED BASS,MORONE SAXATILIS,Y,NA,4.5
140,WHITE PERCH,MORONE AMERICANA,Y,NA,4
141,BLACK SEA BASS,CENTROPRISTIS STRIATA,Y,D,4
142,PIGFISH,ORTHOPRISTIS CHRYSOPTERA,Y,NA,3.2
143,SCUP,STENOTOMUS CHRYSOPS,Y,D,3.2
144,NA,EPIGONUS PANDIONIS,Y,NA,3.2
145,WEAKFISH,CYNOSCION REGALIS,Y,P,3.1
146,NORTHERN KINGFISH,MENTICIRRHUS SAXATILIS,Y,NA,3.2
147,BLACK DRUM,POGONIAS CROMIS,Y,NA,3.2
148,SILVER PERCH,BAIRDIELLA CHRYSOURA,Y,NA,3.2
149,SPOT,LEIOSTOMUS XANTHURUS,Y,D,3.2
151,TILEFISH,LOPHOLATILUS CHAMAELEONTICEPS,Y,D,3.2
154,LONGSPINE SCORPIONFISH,PONTINUS LONGISPINIS,Y,NA,3.1
155,ACADIAN REDFISH,SEBASTES FASCIATUS,Y,D,4
156,BLACKBELLY ROSEFISH,HELICOLENUS DACTYLOPTERUS,Y,D,4
158,DEEPBODY BOARFISH,ANTIGONIA CAPROS,Y,NA,3.1
159,HOOKEAR SCULPINS,ARTEDIELLUS ,Y,D,3.2
160,SCULPIN UNCL,COTTIDAE,Y,D,3.2
161,MOUSTACHE SCULPIN,TRIGLOPS MURRAYI,Y,D,3.2
162,SHORTHORN SCULPIN,MYOXOCEPHALUS SCORPIUS,Y,D,3.2
163,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS,Y,D,3.2
164,SEA RAVEN,HEMITRIPTERUS AMERICANUS,Y,D,3.2
165,ALLIGATORFISH,ASPIDOPHOROIDES MONOPTERYGIUS,Y,NA,3.1
166,GRUBBY,MYOXOCEPHALUS AENAEUS,Y,NA,3.2
167,INQUILINE SNAILFISH,LIPARIS INQUILINUS,Y,NA,3.1
168,LUMPFISH,CYCLOPTERUS LUMPUS,Y,NA,3.2
169,ATLANTIC SPINY LUMPSUCKER,EUMICROTREMUS SPINOSUS,Y,NA,3.2
170,ATLANTIC SEASNAIL,LIPARIS ATLANTICUS,Y,D,3.1
171,NORTHERN SEAROBIN,PRIONOTUS CAROLINUS,Y,D,3.2
172,STRIPED SEAROBIN,PRIONOTUS EVOLANS,Y,D,3.2
173,ARMORED SEAROBIN,PERISTEDION MINIATUM,Y,D,3.2
174,SEAROBIN UNCL,TRIGLIDAE,Y,D,3.2
175,FLYING GURNARD,DACTYLOPTERUS VOLITANS,Y,D,3.2
176,CUNNER,TAUTOGOLABRUS ADSPERSUS,Y,D,3.2
177,TAUTOG,TAUTOGA ONITIS,Y,D,3.2
179,NORTHERN STARGAZER,ASTROSCOPUS GUTTATUS,Y,D,3.2
180,ROCK GUNNEL,PHOLIS GUNNELLUS,Y,D,3.2
181,NORTHERN SAND LANCE,AMMODYTES DUBIUS,Y,D,3.1
182,SNAKEBLENNY,LUMPENUS LUMPRETAEFORMIS,Y,NA,3.2
183,DAUBED SHANNY,LUMPENUS MACULATUS,Y,NA,3.1
184,RADIATED SHANNY,ULVARIA SUBBIFURCATA,Y,NA,3.1
185,OYSTER TOADFISH,OPSANUS TAU,Y,NA,3.2
186,POLKA-DOT CUSK-EEL,OTOPHIDIUM OMOSTIGMUM,Y,NA,3.1
187,RED GOATFISH,MULLUS AURATUS,Y,NA,3.1
188,STRIPED CUSK-EEL,OPHIDION MARGINATUM,Y,D,3.2
190,WOLF EELPOUT,LYCENCHELYS VERRILLI,Y,D,3.5
191,WRYMOUTH,CRYPTACANTHODES MACULATUS,Y,D,3.5
192,ATLANTIC WOLFFISH,ANARHICHAS LUPUS,Y,D,3.5
193,OCEAN POUT,MACROZOARCES AMERICANUS,Y,D,3.4
194,FAWN CUSK-EEL,LEPOPHIDIUM PROFUNDORUM,Y,D,3.1
195,SMOOTH PUFFER,LAGOCEPHALUS LAEVIGATUS,Y,NA,3.1
196,NORTHERN PUFFER,SPHOEROIDES MACULATUS,Y,NA,3.1
197,GOOSEFISH,LOPHIUS AMERICANUS,Y,D,4.45
198,STRIPED BURRFISH,CHILOMYCTERUS SCHOEPFI,Y,NA,3.1
199,ATLANTIC BATFISH,DIBRANCHUS ATLANTICUS,Y,NA,3.2
201,PLANEHEAD FILEFISH,MONACANTHUS HISPIDUS,Y,NA,NA
202,GRAY TRIGGERFISH,BALISTES CAPRISCUS,Y,NA,NA
203,GREATER AMBERJACK,SERIOLA DUMERILI,Y,NA,NA
204,BANDED RUDDERFISH,SERIOLA ZONATA,Y,NA,NA
205,ATLANTIC SAURY,SCOMBERESOX SAURUS,Y,NA,NA
206,LONGNOSE BATFISH,OGCOCEPHALUS CORNIGER,Y,NA,NA
207,BARRELFISH,HYPEROGLYPHE PERCIFORMIS,Y,NA,NA
208,MACKEREL SCAD,DECAPTERUS MACARELLUS,Y,NA,NA
209,BIGEYE SCAD,SELAR CRUMENOPHTHALMUS,Y,NA,NA
211,ROUND SCAD,DECAPTERUS PUNCTATUS,Y,NA,NA
212,ROUGH SCAD,TRACHURUS LATHAMI,Y,NA,NA
213,SILVER RAG,ARIOMMA BONDI,Y,NA,NA
215,HOUNDFISH,TYLOSURUS CROCODILUS,Y,NA,NA
221,STRAIGHTMOUTH TONGUEFISHES,SYMPHURUS ,Y,NA,NA
227,BLACK GEMFISH,NESIARCHUS NASUTUS,Y,NA,NA
228,BOA DRAGONFISH,STOMIAS BOA,Y,NA,NA
229,WEITZMANS PEARLSIDES,MAUROLICUS WEITZMANI ,Y,NA,NA
232,SHORTNOSE GREENEYE,CHLOROPHTHALMUS AGASSIZI,Y,NA,NA
